Ano;Etapa;Evento;Cidade;País;primeiro_lugar;segundo_lugar
2025;1;Lexus Pipe Pro;Pipeline;Hawaii; Barron Mamiya; Leonardo Fioravanti
2025;2;Surf Abu Dhabi Pro;Abu Dhabi;United Arab Emirates; Italo Ferreira; Rio Waida
2025;3;MEO Rip Curl Pro Portugal;Peniche;Portugal; Yago Dora; Italo Ferreira
2025;4;Surf City El Salvador Pro;La Libertad;El Salvador; Jordy Smith; Matthew McGillivray
2025;5;Rip Curl Pro Bells Beach;Bells Beach;Australia; Jack Robinson; Kanoa Igarashi
2025;6;Bonsoy Gold Coast Pro;Gold Coast;Australia; Filipe Toledo; Julian Wilson
2025;7;Western Australia Margaret River Pro;Margaret River;Australia; Jordy Smith; Griffin Colapinto
2025;8;Lexus Trestles Pro;Trestles;United States; Yago Dora; Kanoa Igarashi
2025;9;VIVO Rio Pro;Saquarema;Brazil; Cole Houshmand; Griffin Colapinto
2025;10;Corona Cero Open J-Bay;Jeffreys Bay;South Africa; Connor OLeary; Yago Dora
2024;1;Lexus Pipe Pro;Pipeline;Hawaii; Barron Mamiya; John John Florence
2024;2;Hurley Pro Sunset Beach;Sunset Beach;Hawaii; Jack Robinson; Kanoa Igarashi
2024;3;MEO Rip Curl Pro Portugal;Peniche;Portugal; Griffin Colapinto; Ethan Ewing
2024;4;Rip Curl Pro Bells Beach;Bells Beach;Australia; Cole Houshmand; Griffin Colapinto
2024;5;Western Australia Margaret River Pro;Margaret River;Australia; Jack Robinson; John John Florence
2024;6;SHISEIDO Tahiti Pro;Teahupo'o;Tahiti; Italo Ferreira; John John Florence
2024;7;Surf City El Salvador Pro;La Libertad;El Salvador; John John Florence; Yago Dora
2024;8;VIVO Rio Pro;Saquarema;Brazil; Italo Ferreira; Yago Dora
2024;9;Corona Fiji Pro;Tavarua;Fiji; Griffin Colapinto; Rio Waida
2024;10;Lexus WSL Finals;Trestles;United States; John John Florence; Italo Ferreira
2023;1;Billabong Pro Pipeline;Pipeline;Hawaii; Jack Robinson; Leonardo Fioravanti
2023;2;Hurley Pro Sunset Beach;Sunset Beach;Hawaii; Filipe Toledo; Griffin Colapinto
2023;3;MEO Rip Curl Pro Portugal;Peniche;Portugal; Joao Chianca; Jack Robinson
2023;4;Rip Curl Pro Bells Beach;Bells Beach;Australia; Ethan Ewing; Ryan Callinan
2023;5;Margaret River Pro;Margaret River;Australia; Gabriel Medina; Griffin Colapinto
2023;6;Surf Ranch Pro;Lemoore;United States; Griffin Colapinto; Italo Ferreira
2023;7;Surf City El Salvador Pro;La Libertad;El Salvador; Filipe Toledo; Griffin Colapinto
2023;8;VIVO Rio Pro;Saquarema;Brazil; Yago Dora; Ethan Ewing
2023;9;Corona Open J-Bay;Jeffreys Bay;South Africa; Filipe Toledo; Ethan Ewing
2023;10;SHISEIDO Tahiti Pro;Teahupo'o;Tahiti; Jack Robinson; Gabriel Medina
2023;11;Rip Curl WSL Finals;Trestles;United States; Filipe Toledo; Ethan Ewing
